2024-05-02 21:43:49,979 [.NET ThreadPool Worker] INFO  Microsoft.AspNetCore.Hosting.Diagnostics - Request starting HTTP/1.1 POST https://localhost:44376/v1/api/SP/Sp_Reg application/json;+charset=utf-8 244
2024-05-02 21:43:50,017 [.NET ThreadPool Worker] INFO  Microsoft.AspNetCore.Routing.EndpointMiddleware - Executing endpoint 'MyProjectName.API.Controllers.SPController.Post_Sp_Reg (MyProjectName.API)'
2024-05-02 21:43:50,020 [.NET ThreadPool Worker] INFO  Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker - Route matched with {action = "Post_Sp_Reg", controller = "SP"}. Executing controller action with signature Microsoft.AspNetCore.Mvc.ActionResult Post_Sp_Reg(MyProjectName.Model.Sp_RegInputModel) on controller MyProjectName.API.Controllers.SPController (MyProjectName.API).
2024-05-02 21:43:50,057 [.NET ThreadPool Worker] INFO  Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker - Executing action method MyProjectName.API.Controllers.SPController.Post_Sp_Reg (MyProjectName.API) - Validation state: Valid
2024-05-02 21:43:50,107 [.NET ThreadPool Worker] INFO  Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker - Executed action method MyProjectName.API.Controllers.SPController.Post_Sp_Reg (MyProjectName.API), returned result Microsoft.AspNetCore.Mvc.ObjectResult in 47.5174ms.
2024-05-02 21:43:50,110 [.NET ThreadPool Worker] INFO  Microsoft.AspNetCore.Mvc.Infrastructure.ObjectResultExecutor - Executing ObjectResult, writing value of type 'MyProjectName.Utility.APIResponse'.
2024-05-02 21:43:50,113 [.NET ThreadPool Worker] INFO  Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker - Executed action MyProjectName.API.Controllers.SPController.Post_Sp_Reg (MyProjectName.API) in 89.8909ms
2024-05-02 21:43:50,116 [.NET ThreadPool Worker] INFO  Microsoft.AspNetCore.Routing.EndpointMiddleware - Executed endpoint 'MyProjectName.API.Controllers.SPController.Post_Sp_Reg (MyProjectName.API)'
2024-05-02 21:43:50,121 [.NET ThreadPool Worker] INFO  Microsoft.AspNetCore.Hosting.Diagnostics - Request finished HTTP/1.1 POST https://localhost:44376/v1/api/SP/Sp_Reg application/json;+charset=utf-8 244 - 500 476 application/json;+charset=utf-8 145.4857ms
2024-05-02 21:43:58,409 [.NET ThreadPool Worker] INFO  Microsoft.AspNetCore.Hosting.Diagnostics - Request starting HTTP/2 GET https://localhost:44376/swagger/index.html - -
2024-05-02 21:43:58,447 [.NET ThreadPool Worker] INFO  Microsoft.AspNetCore.Hosting.Diagnostics - Request finished HTTP/2 GET https://localhost:44376/swagger/index.html - - - 200 - text/html;charset=utf-8 37.8490ms
2024-05-02 21:43:58,490 [.NET ThreadPool Worker] INFO  Microsoft.AspNetCore.Hosting.Diagnostics - Request starting HTTP/2 GET https://localhost:44376/_framework/aspnetcore-browser-refresh.js - -
2024-05-02 21:43:58,493 [.NET ThreadPool Worker] INFO  Microsoft.AspNetCore.Hosting.Diagnostics - Request starting HTTP/2 GET https://localhost:44376/_vs/browserLink - -
2024-05-02 21:43:58,498 [.NET ThreadPool Worker] INFO  Microsoft.AspNetCore.Hosting.Diagnostics - Request finished HTTP/2 GET https://localhost:44376/_framework/aspnetcore-browser-refresh.js - - - 200 12366 application/javascript;+charset=utf-8 8.2121ms
2024-05-02 21:43:58,556 [.NET ThreadPool Worker] INFO  Microsoft.AspNetCore.Hosting.Diagnostics - Request finished HTTP/2 GET https://localhost:44376/_vs/browserLink - - - 200 - text/javascript;+charset=UTF-8 63.4779ms
2024-05-02 21:43:58,715 [.NET ThreadPool Worker] INFO  Microsoft.AspNetCore.Hosting.Diagnostics - Request starting HTTP/2 GET https://localhost:44376/swagger/v1/swagger.json - -
2024-05-02 21:43:58,726 [.NET ThreadPool Worker] INFO  Microsoft.AspNetCore.Hosting.Diagnostics - Request finished HTTP/2 GET https://localhost:44376/swagger/v1/swagger.json - - - 200 - application/json;charset=utf-8 11.0508ms
2024-05-02 21:43:58,731 [.NET ThreadPool Worker] INFO  Microsoft.AspNetCore.Hosting.Diagnostics - Request starting HTTP/2 GET https://localhost:44376/swagger/favicon-32x32.png - -
2024-05-02 21:43:58,738 [.NET ThreadPool Worker] INFO  Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware - Sending file. Request path: '/favicon-32x32.png'. Physical path: 'N/A'
2024-05-02 21:43:58,742 [.NET ThreadPool Worker] INFO  Microsoft.AspNetCore.Hosting.Diagnostics - Request finished HTTP/2 GET https://localhost:44376/swagger/favicon-32x32.png - - - 200 628 image/png 11.6124ms
